Date,HSI
18/2/2004,9194.55957
19/2/2004,9179.19043
20/2/2004,9108.450195
23/2/2004,9062.150391
24/2/2004,9047.089844
25/2/2004,8872.320313
26/2/2004,8863.360352
27/2/2004,8634.450195
1/3/2004,8596.889648
2/3/2004,8706.19043
3/3/2004,8648.160156
4/3/2004,8822.450195
5/3/2004,8962.209961
8/3/2004,8806.660156
9/3/2004,8636.849609
10/3/2004,8625.719727
11/3/2004,8645.650391
12/3/2004,8533.549805
15/3/2004,8632.099609
16/3/2004,8675.139648
17/3/2004,8579.139648
18/3/2004,null
19/3/2004,null
22/3/2004,8571.910156
23/3/2004,8519.599609
24/3/2004,8442.110352
25/3/2004,8409.009766
26/3/2004,8435.040039
29/3/2004,8744.219727
30/3/2004,8717.219727
31/3/2004,null
1/4/2004,8808.179688
2/4/2004,8916.490234
5/4/2004,8889.219727
6/4/2004,8901.049805
7/4/2004,null
8/4/2004,9084.160156
9/4/2004,9155.570313
12/4/2004,9119.040039
13/4/2004,9103.69043
14/4/2004,9126.070313
15/4/2004,9093.179688
16/4/2004,9087.370117
19/4/2004,9050.400391
20/4/2004,9059.799805
21/4/2004,9131.490234
22/4/2004,9303.730469
23/4/2004,9492.709961
26/4/2004,9420.80957
27/4/2004,9510.620117
28/4/2004,9508.549805
29/4/2004,9487.379883
30/4/2004,9637.530273
3/5/2004,9662.820313
4/5/2004,null
5/5/2004,9639.009766
6/5/2004,9694.629883
7/5/2004,9733.509766
10/5/2004,9703.719727
11/5/2004,9662.05957
12/5/2004,9736.839844
13/5/2004,9855.639648
14/5/2004,9862.280273
17/5/2004,10030.37012
18/5/2004,9970.299805
19/5/2004,9980.110352
20/5/2004,9930.30957
21/5/2004,9734.290039
24/5/2004,9629.349609
25/5/2004,9628.990234
26/5/2004,9606.110352
27/5/2004,9657.209961
28/5/2004,9577.120117
31/5/2004,null
1/6/2004,9602.620117
2/6/2004,9646.099609
3/6/2004,9636.80957
4/6/2004,9892.400391
7/6/2004,9992.870117
8/6/2004,10027.41016
9/6/2004,9983.30957
10/6/2004,9911.5
11/6/2004,10122.40039
14/6/2004,10135.54981
15/6/2004,10207.16992
16/6/2004,10096.71973
17/6/2004,10140.83984
18/6/2004,10102.86035
21/6/2004,10008.70996
22/6/2004,9900.55957
23/6/2004,9923.139648
24/6/2004,9939.200195
25/6/2004,10134.87988
28/6/2004,10198.59961
29/6/2004,10121.21973
30/6/2004,10134.83008
1/7/2004,10248.59961
2/7/2004,10183.13965
5/7/2004,10177.37988
6/7/2004,9987.540039
7/7/2004,9958.049805
8/7/2004,9945.219727
9/7/2004,10093.54004
12/7/2004,10184.16992
13/7/2004,10301.46973
14/7/2004,10374.01953
15/7/2004,10424.55957
16/7/2004,10525.04004
19/7/2004,10509.29004
20/7/2004,10475.33008
21/7/2004,10643.62988
22/7/2004,10760.73047
23/7/2004,10764.21973
26/7/2004,10753.92969
27/7/2004,10678.54981
28/7/2004,10760.12012
29/7/2004,10908.99023
30/7/2004,10903.40039
2/8/2004,10939.94043
3/8/2004,11102.36035
4/8/2004,11138.62012
5/8/2004,11170.61035
6/8/2004,11165.28027
9/8/2004,11046.82031
10/8/2004,10810.30957
11/8/2004,10883.51953
12/8/2004,null
13/8/2004,10992.73047
16/8/2004,11071.37988
17/8/2004,11140.04981
18/8/2004,11069.21973
19/8/2004,10968.41992
20/8/2004,10873.26953
23/8/2004,10944.36035
24/8/2004,11295.88965
25/8/2004,11286.51953
26/8/2004,11290.15039
27/8/2004,11141.28027
30/8/2004,11229.87012
31/8/2004,null
1/9/2004,11546.12012
2/9/2004,11608.71973
3/9/2004,11734.48047
6/9/2004,11723.91992
7/9/2004,11720.79981
8/9/2004,11800.37012
9/9/2004,11935.83008
10/9/2004,11961.96973
13/9/2004,11856.01953
14/9/2004,12056.17969
15/9/2004,12027.57031
16/9/2004,12044.49023
17/9/2004,12147.88965
20/9/2004,12250.69043
21/9/2004,12238.62988
22/9/2004,11737.17969
23/9/2004,11736.37012
24/9/2004,11749.71973
27/9/2004,12091.87988
28/9/2004,12130.50977
29/9/2004,12143.34961
30/9/2004,12190.09961
1/10/2004,12386.80957
4/10/2004,12440.71973
5/10/2004,12438.91992
6/10/2004,12150.08984
7/10/2004,12215.16992
8/10/2004,12156.67969
11/10/2004,12003.62012
12/10/2004,11971.48047
13/10/2004,12227.57031
14/10/2004,12203.53027
15/10/2004,11997.01953
18/10/2004,12027.25977
19/10/2004,11872.99023
20/10/2004,11845.41016
21/10/2004,11839.79981
22/10/2004,11848.55957
25/10/2004,12008.07031
26/10/2004,12086.66992
27/10/2004,12075.99023
28/10/2004,12317.46973
29/10/2004,12456.99023
1/11/2004,12412.23047
2/11/2004,12361.17969
3/11/2004,12342.65039
4/11/2004,12314.73047
5/11/2004,12177.44043
8/11/2004,12393.63965
9/11/2004,12398.37988
10/11/2004,12554.58008
11/11/2004,12594.41992
12/11/2004,12520.16992
15/11/2004,12260.33008
16/11/2004,12193.12012
17/11/2004,12240.25
18/11/2004,12371.75
19/11/2004,12487.99023
22/11/2004,12420.50977
23/11/2004,12456.7002
24/11/2004,null
25/11/2004,null
26/11/2004,12464.29004
29/11/2004,12526.74023
30/11/2004,12575.94043
1/12/2004,null
2/12/2004,12801.48047
3/12/2004,13005.33008
6/12/2004,13036.32031
7/12/2004,13157.67969
